"deviceType","model","selfProvisionable"
"IndigoDFE","50T","0"
"IndigoDFE","100T","0"
"IndigoDFE","100","0"
"IndigoDFE","120","0"
"IndigoDFE","150","0"
"IndigoDFE","200","0"
"IndigoDFE","300","0"
"IndigoDFE","400","0"
"IndigoPress","HP Indigo 10000 Digital Press","1"
"IndigoPress","HP Indigo 7800 Digital Press","1"
"IndigoPress","HP Indigo 7600 Digital Press","1"
"IndigoPress","HP Indigo 5600 Digital Press","1"
"IndigoPress","HP Indigo W7250 Digital Press","0"
"IndigoPress","HP Indigo WS6600p Digital Press","0"
"IndigoPress","HP Indigo 30000 Digital Press","1"
"IndigoPress","HP Indigo 20000 Digital Press","1"
"IndigoPress","HP Indigo WS6800 Digital Press","1"
"IndigoPress","HP Indigo WS6600 Digital Press","1"
"IndigoPress","HP Indigo WS4600 Digital Press","0"
"IHPSPress","HP T200","1"
"IHPSPress","HP T230","1"
"IHPSPress","HP T260M","1"
"IHPSPress","HP T300","1"
"IHPSPress","HP T400","1"
"IHPSPress","HP T410","1"
"DesignjetPrinter","CQ105","0"
"DesignjetPrinter","B9E24","0"
"ThreeDPrinter","3D Printer 100","1"
"ThreeDPrinter","3D Printer 200","1"
"LatexPrinter","B4H69","0"
"LatexPrinter","E2X76","0"
"LatexPrinter","B4H70","0"
"LatexPrinter","L4R41","0"
"LatexPrinter","CZ056","0"
"LatexPrinter","M0E30","0"
"HotFolder","HotFolder","0"
"IndigoDFE","CloudEnabledIndigoDFEV1","1"
"ProductionCenter","CloudEnabledPCV1","1"
"IndigoPress","HP Indigo 7500 Digital Press","1"
"IndigoPress","HP Indigo 7000 Digital Press","1"
"IndigoPress","HP Indigo WS6000p Digital Press","0"
"IndigoPress","HP Indigo WS6800p Digital Press","1"
"IndigoPress","HP Indigo W7200 Digital Press","1"
"LatexPrinter","L2E27","0"
"LatexPrinter","K4G10","0"
"IHPSPress","HP T400S","1"
"IHPSDFE","Elite Print Server","1"
"IHPSPress","HP T350","1"
"IHPSPress","HP T360","1"
"IndigoPress","HP Indigo 6r Digital Press","1"
"IndigoPress","HP Indigo 7r Digital Press","1"
"FinishingDevice","CP_Bourg_Bourg_Booklet_Maker_ExPress","1"
